date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-06-17;25;Tarapacá; 1,0394308;0,99133386; 1,0894191
2020-06-18;25;Tarapacá; 1,0052965;0,95738741; 1,0545840
2020-06-19;25;Tarapacá; 0,9857818;0,93998999; 1,0326379
2020-06-20;25;Tarapacá; 0,9979475;0,95108116; 1,0455844
2020-06-21;25;Tarapacá; 0,9751252;0,92871351; 1,0233323
2020-06-22;26;Tarapacá; 0,9524356;0,90581664; 1,0001491
2020-06-23;26;Tarapacá; 0,9530841;0,90571961; 1,0036224
2020-06-24;26;Tarapacá; 0,9396902;0,89142499; 0,9902582
2020-06-25;26;Tarapacá; 0,9309337;0,88097673; 0,9827100
2020-06-26;26;Tarapacá; 0,9484781;0,89697500; 1,0020128
2020-06-27;26;Tarapacá; 0,8853279;0,83640931; 0,9366338
2020-06-28;26;Tarapacá; 0,8906106;0,83665852; 0,9489378
2020-06-29;27;Tarapacá; 0,8903282;0,83357462; 0,9510876
2020-06-30;27;Tarapacá; 0,8894006;0,83014627; 0,9509945
2020-07-01;27;Tarapacá; 0,8791151;0,82026840; 0,9410984
2020-07-02;27;Tarapacá; 0,9116539;0,84938472; 0,9767555
2020-07-03;27;Tarapacá; 0,9005673;0,84145204; 0,9617408
2020-07-04;27;Tarapacá; 0,8666310;0,80897610; 0,9259542
2020-07-05;27;Tarapacá; 0,9037891;0,84185536; 0,9698285
2020-07-06;28;Tarapacá; 0,9439009;0,88165737; 1,0084570
2020-07-07;28;Tarapacá; 0,9471413;0,88870522; 1,0062902
2020-07-08;28;Tarapacá; 0,9754404;0,91804482; 1,0343781
2020-07-09;28;Tarapacá; 0,9865081;0,93222478; 1,0431483
2020-07-10;28;Tarapacá; 0,9593190;0,90575482; 1,0148606
2020-07-11;28;Tarapacá; 0,9892922;0,93481889; 1,0443702
2020-07-12;28;Tarapacá; 0,9740413;0,91984019; 1,0298057
2020-07-13;29;Tarapacá; 0,9495676;0,89623146; 1,0035352
2020-07-14;29;Tarapacá; 0,9189854;0,86637928; 0,9737555
2020-07-15;29;Tarapacá; 0,9175531;0,86204964; 0,9753088
2020-07-16;29;Tarapacá; 0,8871705;0,83114267; 0,9449321
2020-07-17;29;Tarapacá; 0,9181761;0,85671267; 0,9841825
2020-07-18;29;Tarapacá; 0,9612460;0,89781649; 1,0270234
2020-07-19;29;Tarapacá; 0,9155666;0,85755788; 0,9743737
2020-07-20;30;Tarapacá; 0,9376187;0,87783369; 1,0003103
2020-07-21;30;Tarapacá; 0,9344038;0,87507945; 0,9956403
2020-07-22;30;Tarapacá; 0,9168667;0,85837869; 0,9774271
2020-07-23;30;Tarapacá; 0,9368208;0,87615560; 1,0007300
2020-07-24;30;Tarapacá; 0,9785715;0,91658851; 1,0430156
2020-07-25;30;Tarapacá; 0,9684573;0,90962880; 1,0299530
2020-07-26;30;Tarapacá; 0,9224738;0,86446927; 0,9811491
2020-07-27;31;Tarapacá; 1,0060488;0,94411252; 1,0708312
2020-07-28;31;Tarapacá; 1,2467703;1,17974804; 1,3163245
2020-07-29;31;Tarapacá; 1,2222145;1,12246324; 1,3077337
2020-07-30;31;Tarapacá; 1,2379683;1,12575966; 1,3451937
2020-07-31;31;Tarapacá; 1,1340716;1,02629862; 1,2454064
2020-08-01;31;Tarapacá; 1,0656579;0,98188130; 1,1642234
2020-08-02;31;Tarapacá; 1,0389992;0,97085782; 1,1187795
2020-08-03;32;Tarapacá; 0,9710394;0,91340946; 1,0339417
2020-08-04;32;Tarapacá; 0,9754794;0,91983243; 1,0332548
2020-08-05;32;Tarapacá; 1,0055756;0,94817910; 1,0634244
2020-08-06;32;Tarapacá; 0,9697400;0,91479112; 1,0257288
2020-08-07;32;Tarapacá; 0,9409388;0,88698632; 0,9970000
2020-08-08;32;Tarapacá; 0,9156309;0,86003328; 0,9735239
2020-08-09;32;Tarapacá; 0,9686938;0,90834001; 1,0323254
2020-08-10;33;Tarapacá; 0,9218380;0,86467804; 0,9813613
2020-08-11;33;Tarapacá; 0,8066661;0,75217941; 0,8635389
2020-08-12;33;Tarapacá; 0,8399889;0,77381855; 0,9171128
2020-03-17;12;Antofagasta; 2,9525417;0,53375036; 8,1189625
2020-03-18;12;Antofagasta; 2,3243373;0,46076790; 5,9912153
2020-03-19;12;Antofagasta; 1,9934393;0,39579288; 4,9195979
2020-03-20;12;Antofagasta; 4,2124513;1,64311326; 7,9999640
2020-03-21;12;Antofagasta; 4,9312865;2,11344899; 9,2696366
2020-03-22;12;Antofagasta; 3,5724864;1,42421388; 7,2453849
2020-03-23;13;Antofagasta; 2,5096021;1,05709025; 5,0981540
2020-03-24;13;Antofagasta; 2,2776399;1,09447012; 4,1979462
2020-03-25;13;Antofagasta; 2,6605081;1,45416614; 4,4607536
2020-03-26;13;Antofagasta; 2,2310606;1,20176085; 3,7301499
2020-03-27;13;Antofagasta; 1,9046365;1,06819292; 3,1152280
2020-03-28;13;Antofagasta; 1,7741806;1,05930004; 2,7787144
2020-03-29;13;Antofagasta; 1,6793917;1,03603581; 2,5229154
2020-03-30;14;Antofagasta; 1,9543776;1,29212044; 2,8185952
2020-03-31;14;Antofagasta; 1,6970762;1,09345196; 2,4723028
2020-04-01;14;Antofagasta; 1,6662798;1,11051514; 2,3719073
2020-04-02;14;Antofagasta; 1,8019944;1,25050718; 2,5021000
2020-04-03;14;Antofagasta; 1,6903873;1,16792790; 2,3439291
2020-04-04;14;Antofagasta; 1,4035769;0,96356289; 1,9551141
2020-04-05;14;Antofagasta; 1,3956691;0,99705917; 1,8823158
2020-04-06;15;Antofagasta; 1,5086244;1,10841009; 1,9827549
2020-04-07;15;Antofagasta; 1,3629563;0,99598533; 1,7952695
2020-04-08;15;Antofagasta; 1,3097889;0,97043467; 1,7165728
2020-04-09;15;Antofagasta; 1,5302836;1,17198650; 1,9457313
2020-04-10;15;Antofagasta; 1,7378412;1,34638226; 2,1980082
2020-04-11;15;Antofagasta; 1,6026167;1,20135706; 2,0652549
2020-04-12;15;Antofagasta; 1,7276461;1,32521051; 2,2111290
2020-04-13;16;Antofagasta; 1,5764152;1,19081066; 2,0451156
2020-04-14;16;Antofagasta; 1,4882100;1,14765824; 1,9104248
2020-04-15;16;Antofagasta; 1,5469957;1,22353277; 1,9367354
2020-04-16;16;Antofagasta; 1,4879516;1,17737656; 1,8615683
2020-04-17;16;Antofagasta; 1,4717930;1,17628025; 1,8151301
2020-04-18;16;Antofagasta; 1,4684026;1,18664099; 1,8007936
2020-04-19;16;Antofagasta; 1,4905430;1,21663298; 1,8115453
2020-04-20;17;Antofagasta; 1,4088603;1,14613840; 1,7153433
2020-04-21;17;Antofagasta; 1,4813709;1,22512177; 1,7845124
2020-04-22;17;Antofagasta; 1,5276707;1,26250131; 1,8297455
